CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
807539955,01/01/2016,12:00:00,01/24/2018,17:00:00,01/24/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,"988,085","217,902",40.764774473000045,-73.986157253,"(40.764774473000045, -73.986157253)"
908438691,01/01/2016,10:00:00,02/11/2018,16:00:00,02/11/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,"993,373","229,301",40.79605784000006,-73.96705230699997,"(40.79605784000006, -73.96705230699997)"
713483285,01/01/2016,00:00:00,02/15/2018,19:30:00,02/16/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,"1,001,374","238,163",40.82036969600006,-73.93813284599996,"(40.82036969600006, -73.93813284599996)"
178447094,01/01/2016,08:00:00,03/18/2017,17:00:00,02/21/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,001,606","251,324",40.85649236300002,-73.93726057999999,"(40.85649236300002, -73.93726057999999)"
911003056,01/01/2016,12:00:00,02/16/2018,12:00:00,02/28/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,OTHER,,,"989,731","222,727",40.77801697500007,-73.98021132399998,"(40.77801697500007, -73.98021132399998)"
872986408,01/01/2016,00:01:00,12/31/2017,23:59:00,03/05/2018,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,33,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"1,001,936","245,282",40.83990820100007,-73.93608358699998,"(40.83990820100007, -73.93608358699998)"
823238722,01/01/2016,12:00:00,,,10/09/2018,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,"999,358","236,472",40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)"
856491353,01/01/2016,00:01:00,12/31/2016,23:59:00,10/14/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,CLOTHING/BOUTIQUE,,,"981,219","196,746",40.70670677700008,-74.01093370399997,"(40.70670677700008, -74.01093370399997)"
429976719,01/01/2016,08:00:00,05/31/2018,00:55:00,11/12/2018,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,,,"997,376","233,927",40.80874990400008,-73.95258580599993,"(40.80874990400008, -73.95258580599993)"
415011862,01/01/2016,12:00:00,12/05/2018,12:00:00,12/18/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,RESIDENCE - APT. HOUSE,,,"990,563","203,120",40.72420015400007,-73.97722564299994,"(40.72420015400007, -73.97722564299994)"
824246033,01/01/2016,02:00:00,,,12/19/2018,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,FRONT OF,STREET,,,"987,184","205,840",40.73166765800004,-73.98941508699994,"(40.73166765800004, -73.98941508699994)"
194735658,01/04/2016,12:00:00,01/04/2016,23:00:00,01/11/2018,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,005,250","254,388",40.86489420400005,-73.92407814999996,"(40.86489420400005, -73.92407814999996)"
707109349,01/05/2016,08:00:00,07/02/2018,19:50:00,07/02/2018,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,"1,000,355","241,599",40.82980245500005,-73.94180622099998,"(40.82980245500005, -73.94180622099998)"
851536595,01/08/2016,12:00:00,01/08/2016,12:05:00,05/17/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,"985,850","210,155",40.74351160900005,-73.99422735499998,"(40.74351160900005, -73.99422735499998)"
958836431,01/15/2016,03:00:00,06/29/2017,05:00:00,10/16/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,CHAIN STORE,,,"988,262","208,819",40.73984385600005,-73.98552370799997,"(40.73984385600005, -73.98552370799997)"
593729757,01/18/2016,07:44:00,01/18/2018,07:47:00,01/18/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,DRUG STORE,,,"998,151","234,236",40.80959683800006,-73.94978559799995,"(40.80959683800006, -73.94978559799995)"
836043121,01/24/2016,12:19:00,09/01/2018,04:42:00,09/01/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,004,299","250,428",40.85402740600006,-73.92752823399996,"(40.85402740600006, -73.92752823399996)"
